,,
Different Files in OWASP-BLT Project                ,,
,,
,,
File Name,About the File,Figma Link
_activity.html,"This file gives the idea about activities 
of user in terms of particular issue","https://www.figma.com/file/s0xuxe
U6O2guoWEfA9OElZ/Bugheist
-Full-Design?node-id=489%3A
138&t=3CLUaUp9CEZj9ASY-1"
_bookmarks.html,"This file gives the info of the bookmark issues in the 
BLT Project",not in figma file
_featured.html,"This files gives info regarding the featured issues
in BLT Project",not in figma file
_followers.html,"This file gives us information regarding the followers 
of BLT Project",
_following.html,"This file gives us information regarding the following
of BLT Project",
_likes.html,"This file give us info regarding the likes on the
Recent Bug","https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?
node-id=340%3A209&t=OZnfXHD7sfz
kaLm1-1"
_subscriptions.html,"This gives info regardng the different plans of Bugheist
Project ","https://www.figma.com/file/s0xuxeU6O2g
uoWEfA9OElZ/Bugheist-Full-Design?node-
id=340%3A209&t=OZnfXHD7sfzkaLm1-1"
about.html,"This gives us info regarding the Bugheist project like
what is it about , what is their plans and all","https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?no
de-id=487%3A2791&t=OZnfXHD7sfzkaLm1-1"
admin_dashboard_company.html,This gives us the info regarding the company dashboard,
admin_dashboard_company_detail.html,This gives us the details about the company,
admin_home.html,"This file gives us the info regarding the home page for 
admin",
base.html,"This file gives us info regarding the testing and data
on the website","https://www.figma.com/file/s0xuxeU6O2g
uoWEfA9OElZ/Bugheist-Full-Design?node
-id=340%3A209&t=pqxWpF3hcYxjEDrs-1"
base_admin.html,This file is only for admin ,
base_dashboard_company.html,,
base_dashboard_user.html,,
base_home.html,,
comments.html,This gives us info regarding the comments on bugs,"https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?
node-id=4%3A1109&t=pqxWpF3hcYxjEDrs-1"
company_dashboard_domain_detail.html,"This gives us info regarding company dashboard 
details","https://www.figma.com/file/s0xuxeU6O2guo
WEfA9OElZ/Bugheist-Full-Design?node-id
=3%3A76&t=pqxWpF3hcYxjEDrs-1"
company_dashboard_hunt_detail.html,,
company_dashboard_hunt_edit.html,,
company_domain_lists.html,,
company_hunt_results.html,,
company_settings.html,,
create_hunt.html,,
dashboard_profile.html,,
domain.html,"This file gives us info regarding the domain using 
graphs and all","https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?
node-id=488%3A1342&t=pqxWpF3hcY
xjEDrs-1"
email.html,,
followers.html,,
hunt.html,,"https://www.figma.com/file/s0xuxeU6
O2guoWEfA9OElZ/Bugheist-Full-Desi
gn?node-id=488%3A1341&t=pqxWpF
3hcYxjEDrs-1"
hunt_drafts.html,,
hunt_ongoing.html,,
hunt_previous.html,,
hunt_results.html,,
hunt_submittion.html,,
hunt_upcoming.html,,
index-new.html,,
index.html,,"https://www.figma.com/file/s
0xuxeU6O2guoWEfA9OElZ/
Bugheist-Full-Design?node-id
=340%3A209&t=3CLUaUp9CEZj9ASY-1"
index_company.html,,
index_user.html,,"https://www.figma.com/file/s0xuxeU
6O2guoWEfA9OElZ/Bugheist-Full-
Design?node-id=488%3A1350&t=
pqxWpF3hcYxjEDrs-1"
invite.html,,"https://www.figma.com/file/s0xuxeU6
O2guoWEfA9OElZ/Bugheist-Full-De
sign?node-id=488%3A1346&t=pqxW
pF3hcYxjEDrs-1"
invite_friend.html,,"https://www.figma.com/file/s0xuxeU6O2g
uoWEfA9OElZ/Bugheist-Full-Design?node
-id=421%3A26&t=pqxWpF3hcYxjEDrs-1"
issue.html,,
join.html,,
leaderboard.html,,"https://www.figma.com/file/s0xuxeU6
O2guoWEfA9OElZ/Bugheist-Full-Design
?node-id=3%3A68&t=pqxWpF3hcYxjEDrs-
1"
list_view.html,,
privacy.html,,"https://www.figma.com/file/s0xuxeU6O
2guoWEfA9OElZ/Bugheist-Full-Design
?node-id=513%3A772&t=pqxWpF3hcY
xjEDrs-1"
profile.html,,"https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?
node-id=487%3A3001&t=pqxWpF3hcY
xjEDrs-1"
report.html,,"https://www.figma.com/file/s0xuxeU6O2g
uoWEfA9OElZ/Bugheist-Full-Design?nod
e-id=421%3A5&t=pqxWpF3hcYxjEDrs-1
"
scoreboard.html,,"https://www.figma.com/file/s0xuxeU6O2gu
oWEfA9OElZ/Bugheist-Full-Design?node-i
d=1307%3A653&t=pqxWpF3hcYxjEDrs-1"
search.html,,"https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?no
de-id=513%3A768&t=pqxWpF3hcYxjEDr
s-1"
social.html,,"https://www.figma.com/file/s0xuxeU6O2
guoWEfA9OElZ/Bugheist-Full-Design?no
de-id=472%3A147&t=pqxWpF3hcYxjEDrs
-1"
stats.html,,"https://www.figma.com/file/s0xuxeU6O2gu
oWEfA9OElZ/Bugheist-Full-Design?node-
id=1309%3A656&t=pqxWpF3hcYxjEDrs-
1"
terms.html,,"https://www.figma.com/file/s0xuxeU6O2gu
oWEfA9OElZ/Bugheist-Full-Design?node-
id=1309%3A650&t=pqxWpF3hcYxjEDrs-1"
Update _featured.html,,
Update base.html,,
Update index.html,,
view_hunt.html,,